Canonical_transcript	Gene
ENST00000240185.8	TARDBP
ENST00000321556.5	PINK1
ENST00000326735.13	ATP13A2
ENST00000338639.10	PARK7
ENST00000366783.8	PSEN2
ENST00000368373.8	GBA
ENST00000371069.5	DNAJC6
ENST00000248437.9	TUBA4A
ENST00000264276.11	ALS2
ENST00000433529.7	TIA1
ENST00000628224.3	DCTN1
ENST00000263780.9	CHMP2B
ENST00000296452.5	BSN
ENST00000394991.8	SNCA
ENST00000389805.9	SQSTM1
ENST00000394805.8	MATR3
ENST00000675795.1	CSF1R
ENST00000230124.8	FIG4
ENST00000366898.6	PARK2
ENST00000224140.6	SETX
ENST00000262554.7	SPTLC1
ENST00000358901.11	VCP
ENST00000380003.8	C9orf72
ENST00000338222.7	UBQLN2
ENST00000369454.4	RAB39B
ENST00000423759.6	TAF1
ENST00000378747.8	OPTN
ENST00000298910.12	LRRK2
ENST00000331710.10	TBK1
ENST00000340913.11	HNRNPA1
ENST00000455537.7	KIF5A
ENST00000673436.1	ATXN2
ENST00000324501.10	PSEN1
ENST00000491895.7	GCH1
ENST00000261866.12	SPG11
ENST00000268124.11	POLG
ENST00000644861.2	VPS13C
ENST00000254108.12	FUS
ENST00000299138.12	VPS35
ENST00000053867.8	GRN
ENST00000225655.6	PFN1
ENST00000262410.10	MAPT
ENST00000475243.6	VAPB
ENST00000610179.7	PANK2
ENST00000270142.11	SOD1
ENST00000346798.8	APP
ENST00000674351.1	SYNJ1
ENST00000266087.12	FBXO7
ENST00000332509.8	PLA2G6
ENST00000484558.3	CHCHD10
